Date,EUROSTOXX50,S&P500
2017-12-11,3582.2099609375,2659.989990234375
2017-12-12,3600.35009765625,2664.110107421875
2017-12-13,3581.75,2662.85009765625
2017-12-14,3556.219970703125,2652.010009765625
2017-12-15,3560.530029296875,2675.81005859375
2017-12-18,3609.419921875,2690.159912109375
2017-12-19,3582.219970703125,2681.469970703125
2017-12-20,3552.64990234375,2679.25
2017-12-21,3570.780029296875,2684.570068359375
2017-12-22,3553.389892578125,2683.340087890625
2017-12-27,3550.169921875,2682.6201171875
2017-12-28,3524.31005859375,2687.5400390625
2017-12-29,3503.9599609375,2673.610107421875
2018-01-03,3509.8798828125,2713.06005859375
2018-01-04,3568.8798828125,2723.989990234375
2018-01-05,3607.6298828125,2743.14990234375
2018-01-08,3616.449951171875,2747.7099609375
2018-01-09,3622.8701171875,2751.2900390625
2018-01-10,3609.830078125,2748.22998046875
2018-01-11,3595.239990234375,2767.56005859375
2018-01-12,3612.610107421875,2786.239990234375
2018-01-16,3622.010009765625,2776.419921875
2018-01-17,3612.780029296875,2802.56005859375
2018-01-18,3620.909912109375,2798.030029296875
2018-01-19,3649.070068359375,2810.300048828125
2018-01-22,3665.280029296875,2832.969970703125
2018-01-23,3672.2900390625,2839.1298828125
2018-01-24,3643.219970703125,2837.5400390625
2018-01-25,3630.14990234375,2839.25
2018-01-26,3647.409912109375,2872.8701171875
2018-01-29,3643.0400390625,2853.530029296875
2018-01-30,3606.75,2822.429931640625
2018-01-31,3609.2900390625,2823.81005859375
2018-02-01,3577.35009765625,2821.97998046875
2018-02-02,3523.280029296875,2762.1298828125
2018-02-05,3478.77001953125,2648.93994140625
2018-02-06,3394.919921875,2695.139892578125
2018-02-07,3454.52001953125,2681.659912109375
2018-02-08,3377.300048828125,2581.0
2018-02-09,3325.989990234375,2619.550048828125
2018-02-12,3368.25,2656.0
2018-02-13,3340.929931640625,2662.93994140625
2018-02-14,3369.830078125,2698.6298828125
2018-02-15,3389.6298828125,2731.199951171875
2018-02-16,3426.800048828125,2732.219970703125
2018-02-20,3435.080078125,2716.260009765625
2018-02-21,3430.159912109375,2701.330078125
2018-02-22,3431.989990234375,2703.9599609375
2018-02-23,3441.4599609375,2747.300048828125
2018-02-26,3463.179931640625,2779.60009765625
2018-02-27,3458.030029296875,2744.280029296875
2018-02-28,3438.9599609375,2713.830078125
2018-03-01,3399.159912109375,2677.669921875
2018-03-02,3324.75,2691.25
2018-03-05,3355.320068359375,2720.93994140625
2018-03-06,3357.860107421875,2728.1201171875
2018-03-07,3377.360107421875,2726.800048828125
2018-03-08,3413.280029296875,2738.969970703125
2018-03-09,3420.5400390625,2786.570068359375
2018-03-12,3429.47998046875,2783.02001953125
2018-03-13,3397.35009765625,2765.31005859375
2018-03-14,3390.97998046875,2749.47998046875
2018-03-15,3414.1298828125,2747.330078125
2018-03-16,3437.39990234375,2752.010009765625
2018-03-19,3394.7900390625,2712.919921875
2018-03-20,3412.080078125,2716.93994140625
2018-03-21,3401.0400390625,2711.929931640625
2018-03-22,3348.18994140625,2643.68994140625
2018-03-23,3298.070068359375,2588.260009765625
2018-03-26,3278.719970703125,2658.550048828125
