,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA
18,^GSPC,1955-09-19,3,0.0,0.0,0.0
19,^GSPC,1955-08-18,3,0.0,0.0,0.0
20,^GSPC,1956-09-24,2,0.0,0.0,0.0
21,^GSPC,1957-06-27,4,0.0,0.0,0.0
22,^GSPC,1957-06-27,4,0.0,0.0,0.0
23,^GSPC,1959-09-29,3,0.0,0.0,0.0
24,^GSPC,1960-09-12,2,0.0,0.0,0.0
25,^GSPC,1960-09-12,3,0.0,0.0,0.0
26,^GSPC,1960-09-12,2,0.0,0.0,0.0
27,^GSPC,1960-09-12,5,0.0,0.0,0.0
28,^GSPC,1961-09-11,4,0.0,0.0,0.0
29,^GSPC,1961-09-26,4,0.0,0.0,0.0
30,^GSPC,1964-08-27,2,1.067422532581717,1.1309700480653473,1.1915684881921071
31,^GSPC,1964-09-10,2,1.0836863746499423,1.0290492588636777,1.1443039426272616
32,^GSPC,1964-10-14,2,0.9305623549885944,1.108830825859809,1.1053171934601278
33,^GSPC,1965-09-08,3,1.2993633263659776,1.0951038202761103,1.181143372677784
34,^GSPC,1965-09-10,3,1.61561179709988,1.112287238943014,1.1440480987353494
35,^GSPC,1966-06-09,2,1.6653052547398632,1.7781986380838841,1.8592884684538211
36,^GSPC,1966-06-13,3,1.5996310988514773,1.7686704832085265,1.9107234349186935
37,^GSPC,1967-09-20,3,1.5086063366482816,1.5048920603233422,1.4952948554739676
38,^GSPC,1969-08-18,5,1.5808157093889954,2.0261110648362495,1.8695309295188296
39,^GSPC,1970-08-03,3,2.1705430941286434,2.1924513724518553,2.4638891960120906
40,^GSPC,1971-09-16,2,1.2837215836422595,1.634678545290419,1.8357669283332207
41,^GSPC,1975-09-23,3,2.0199622374047066,2.016202821536722,1.971994764870055
42,^GSPC,1976-08-10,3,1.442862652183342,1.322455190548905,1.4413760167080705
43,^GSPC,1979-09-13,3,1.363700770604603,1.4772373318794836,1.4520030499854961
44,^GSPC,1979-09-04,2,2.0218828343663167,1.4269022518970094,1.4256963582950766
45,^GSPC,1979-09-13,3,1.363700770604603,1.4772373318794836,1.4520030499854961
46,^GSPC,1979-09-04,2,2.0218828343663167,1.4269022518970094,1.4256963582950766
47,^GSPC,1983-08-18,3,1.4326477036717844,1.2315985197656205,1.0443037368827317
48,^GSPC,1984-09-13,2,1.9602007176245944,0.8866169269681585,1.440603048705515
49,^GSPC,1985-11-21,2,1.2187139472428186,0.7396369224313144,0.71607861639674
50,^GSPC,1989-09-22,4,0.5423664588551951,0.8816268228659643,0.9875373874921946
51,^GSPC,1991-08-19,2,3.024995193401997,0.8254896090601636,0.9747327442547783
