United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
2000,1,8.1,7.5,8.8,7.3,9.1,7.2,9.3,1,1.5,0.9,1.5,1.1,1.7,0.9,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.1,1.5,2.0,1.4,2.0,1.4,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.6,2.0,1.6,2.0,1.5,2.2,1,1.1,0.9,1.2,0.9,1.3,0.8,1.4,5,13.5,12.4,15.5,12.3,16.1,11.8,16.8
2001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.8,4.6,5.2,4.5,5.3,4.4,5.4,1,13.3,11.2,14.3,10.8,15.0,10.5,15.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18.1,15.8,19.5,15.3,20.3,14.9,20.8
2002,1,13.9,13.8,15.2,13.5,15.6,13.3,15.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.3,3.9,4.7,3.8,4.8,3.6,4.9,2,3.4,3.0,3.8,2.8,4.0,2.7,4.2,1,2.0,1.5,1.8,1.5,1.9,1.4,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,23.6,22.2,25.5,21.6,26.3,21.0,26.8
2003,1,7.6,6.9,7.7,6.8,7.9,6.7,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.0,10.8,13.5,10.3,14.1,10.0,14.5,1,8.3,7.0,8.6,6.9,9.0,6.8,9.3,1,5.9,5.0,6.2,4.9,6.5,4.7,6.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,33.8,29.7,36.0,28.9,37.5,28.2,38.6
2004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.4,1.6,1.3,1.6,1.2,1.7,4,79.6,71.3,84.9,69.3,88.0,68.0,89.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,81.1,72.7,86.5,70.6,89.6,69.2,91.4
2005,1,2.1,2.1,2.4,2.0,2.5,2.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.1,1.3,1.1,1.3,1.0,1.4,4,236.1,198.1,257.9,188.1,272.7,182.1,281.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,239.4,201.3,261.6,191.2,276.5,185.1,285.8
2006,1,8.3,7.8,8.9,7.6,9.2,7.4,9.4,1,2.1,2.0,2.9,1.8,3.2,1.7,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8.5,8.0,9.3,7.7,9.3,7.5,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.8,2.0,1.7,2.1,1.7,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20.9,19.6,23.1,18.8,23.8,18.3,24.6
2007,1,4.8,4.7,5.2,4.6,5.4,4.6,5.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.7,4.1,5.3,3.9,5.5,3.9,5.5,1,3.4,3.0,3.3,2.9,3.4,2.9,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.7,3.5,4.1,3.4,4.2,3.3,4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,16.6,15.3,17.9,14.8,18.5,14.7,18.9
2008,1,9.1,8.6,9.8,8.4,10.1,8.2,10.3,1,12.9,10.2,12.8,9.7,13.2,9.4,13.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.8,10.9,12.6,10.8,12.9,10.4,13.3,3,48.4,44.3,52.0,43.2,53.6,42.4,54.7,1,1.6,1.5,1.8,1.4,1.9,1.3,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,83.8,75.5,89.0,73.5,91.7,71.7,93.7
2009,1,4.5,4.4,5.4,4.3,5.7,4.2,5.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10.4,9.5,10.4,9.3,10.9,9.3,11.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,1.1,1.5,1.1,1.5,1.1,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,16.2,15.0,17.3,14.7,18.1,14.6,18.4
