areaCode,areaName,areaType,date,cumCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-01-03,2801909
K02000001,United Kingdom,overview,2021-01-02,2746748
K02000001,United Kingdom,overview,2021-01-01,2686322
K02000001,United Kingdom,overview,2020-12-31,2654491
K02000001,United Kingdom,overview,2020-12-30,2601713
K02000001,United Kingdom,overview,2020-12-29,2530960
K02000001,United Kingdom,overview,2020-12-28,2449483
K02000001,United Kingdom,overview,2020-12-27,2403909
K02000001,United Kingdom,overview,2020-12-26,2356217
K02000001,United Kingdom,overview,2020-12-25,2315850
K02000001,United Kingdom,overview,2020-12-24,2301681
K02000001,United Kingdom,overview,2020-12-23,2269880
K02000001,United Kingdom,overview,2020-12-22,2227717
K02000001,United Kingdom,overview,2020-12-21,2182070
K02000001,United Kingdom,overview,2020-12-20,2134715
K02000001,United Kingdom,overview,2020-12-19,2102272
K02000001,United Kingdom,overview,2020-12-18,2077132
K02000001,United Kingdom,overview,2020-12-17,2041307
K02000001,United Kingdom,overview,2020-12-16,2007413
K02000001,United Kingdom,overview,2020-12-15,1972510
K02000001,United Kingdom,overview,2020-12-14,1938672
K02000001,United Kingdom,overview,2020-12-13,1903971
K02000001,United Kingdom,overview,2020-12-12,1881990
K02000001,United Kingdom,overview,2020-12-11,1862636
K02000001,United Kingdom,overview,2020-12-10,1838583
K02000001,United Kingdom,overview,2020-12-09,1815984
K02000001,United Kingdom,overview,2020-12-08,1794384
K02000001,United Kingdom,overview,2020-12-07,1773609
K02000001,United Kingdom,overview,2020-12-06,1752288
K02000001,United Kingdom,overview,2020-12-05,1738717
K02000001,United Kingdom,overview,2020-12-04,1725985
K02000001,United Kingdom,overview,2020-12-03,1710328
K02000001,United Kingdom,overview,2020-12-02,1694706
K02000001,United Kingdom,overview,2020-12-01,1678236
K02000001,United Kingdom,overview,2020-11-30,1661789
K02000001,United Kingdom,overview,2020-11-29,1643785
K02000001,United Kingdom,overview,2020-11-28,1633104
K02000001,United Kingdom,overview,2020-11-27,1622148
K02000001,United Kingdom,overview,2020-11-26,1607786
K02000001,United Kingdom,overview,2020-11-25,1593219
K02000001,United Kingdom,overview,2020-11-24,1576610
K02000001,United Kingdom,overview,2020-11-23,1560158
K02000001,United Kingdom,overview,2020-11-22,1541391
K02000001,United Kingdom,overview,2020-11-21,1529658
K02000001,United Kingdom,overview,2020-11-20,1517310
K02000001,United Kingdom,overview,2020-11-19,1500467
K02000001,United Kingdom,overview,2020-11-18,1482721
K02000001,United Kingdom,overview,2020-11-17,1461973
K02000001,United Kingdom,overview,2020-11-16,1438808
K02000001,United Kingdom,overview,2020-11-15,1412236
K02000001,United Kingdom,overview,2020-11-14,1396218
K02000001,United Kingdom,overview,2020-11-13,1378235
K02000001,United Kingdom,overview,2020-11-12,1354208
K02000001,United Kingdom,overview,2020-11-11,1329749
K02000001,United Kingdom,overview,2020-11-10,1302405
K02000001,United Kingdom,overview,2020-11-09,1274996
K02000001,United Kingdom,overview,2020-11-08,1243957
K02000001,United Kingdom,overview,2020-11-07,1224000
K02000001,United Kingdom,overview,2020-11-06,1205485
K02000001,United Kingdom,overview,2020-11-05,1182165
K02000001,United Kingdom,overview,2020-11-04,1158432
K02000001,United Kingdom,overview,2020-11-03,1134764
K02000001,United Kingdom,overview,2020-11-02,1109189
K02000001,United Kingdom,overview,2020-11-01,1077682
K02000001,United Kingdom,overview,2020-10-31,1061934
K02000001,United Kingdom,overview,2020-10-30,1045455
K02000001,United Kingdom,overview,2020-10-29,1022806
K02000001,United Kingdom,overview,2020-10-28,999473
K02000001,United Kingdom,overview,2020-10-27,975869
K02000001,United Kingdom,overview,2020-10-26,951794
K02000001,United Kingdom,overview,2020-10-25,925251
K02000001,United Kingdom,overview,2020-10-24,909536
K02000001,United Kingdom,overview,2020-10-23,893316
K02000001,United Kingdom,overview,2020-10-22,871867
K02000001,United Kingdom,overview,2020-10-21,848644
K02000001,United Kingdom,overview,2020-10-20,823222
K02000001,United Kingdom,overview,2020-10-19,797912
K02000001,United Kingdom,overview,2020-10-18,772310
K02000001,United Kingdom,overview,2020-10-17,758120
K02000001,United Kingdom,overview,2020-10-16,743373
K02000001,United Kingdom,overview,2020-10-15,725664
K02000001,United Kingdom,overview,2020-10-14,707249
K02000001,United Kingdom,overview,2020-10-13,687563
K02000001,United Kingdom,overview,2020-10-12,668689
K02000001,United Kingdom,overview,2020-10-11,649272
K02000001,United Kingdom,overview,2020-10-10,637217
K02000001,United Kingdom,overview,2020-10-09,624717
K02000001,United Kingdom,overview,2020-10-08,609005
K02000001,United Kingdom,overview,2020-10-07,590780
K02000001,United Kingdom,overview,2020-10-06,572473
K02000001,United Kingdom,overview,2020-10-05,555430
K02000001,United Kingdom,overview,2020-10-04,538890
K02000001,United Kingdom,overview,2020-10-03,527095
K02000001,United Kingdom,overview,2020-10-02,515573
K02000001,United Kingdom,overview,2020-10-01,501892
K02000001,United Kingdom,overview,2020-09-30,488707
K02000001,United Kingdom,overview,2020-09-29,476153
K02000001,United Kingdom,overview,2020-09-28,465930
K02000001,United Kingdom,overview,2020-09-27,456012
K02000001,United Kingdom,overview,2020-09-26,449044
K02000001,United Kingdom,overview,2020-09-25,442299
K02000001,United Kingdom,overview,2020-09-24,435064
K02000001,United Kingdom,overview,2020-09-23,427465
K02000001,United Kingdom,overview,2020-09-22,420418
K02000001,United Kingdom,overview,2020-09-21,414022
K02000001,United Kingdom,overview,2020-09-20,408427
K02000001,United Kingdom,overview,2020-09-19,403114
K02000001,United Kingdom,overview,2020-09-18,398267
K02000001,United Kingdom,overview,2020-09-17,393313
K02000001,United Kingdom,overview,2020-09-16,388696
K02000001,United Kingdom,overview,2020-09-15,384350
K02000001,United Kingdom,overview,2020-09-14,380813
K02000001,United Kingdom,overview,2020-09-13,377433
K02000001,United Kingdom,overview,2020-09-12,375304
K02000001,United Kingdom,overview,2020-09-11,372649
K02000001,United Kingdom,overview,2020-09-10,369364
K02000001,United Kingdom,overview,2020-09-09,365788
K02000001,United Kingdom,overview,2020-09-08,362460
K02000001,United Kingdom,overview,2020-09-07,359158
K02000001,United Kingdom,overview,2020-09-06,355300
K02000001,United Kingdom,overview,2020-09-05,352861
K02000001,United Kingdom,overview,2020-09-04,350321
K02000001,United Kingdom,overview,2020-09-03,347284
K02000001,United Kingdom,overview,2020-09-02,344191
K02000001,United Kingdom,overview,2020-09-01,341198
K02000001,United Kingdom,overview,2020-08-31,338949
K02000001,United Kingdom,overview,2020-08-30,337448
K02000001,United Kingdom,overview,2020-08-29,336289
K02000001,United Kingdom,overview,2020-08-28,335068
K02000001,United Kingdom,overview,2020-08-27,333448
K02000001,United Kingdom,overview,2020-08-26,331898
K02000001,United Kingdom,overview,2020-08-25,330548
