,State Name,Name,Saffir-Simpson Category,Date of closest approach,Year
185,Mississippi,Unnamed,3,"Aug 26, 1852",1852
186,Georgia,Unnamed,3,"Sep 8, 1854",1854
187,South Carolina,Unnamed,2,"Sep 8, 1854",1854
188,Texas,Unnamed,2,"Sep 18, 1854",1854
189,Louisiana,Unnamed,3,"Sep 16, 1855",1855
190,Mississippi,Unnamed,3,"Aug 16, 1855",1855
191,Florida,Unnamed,2,"Aug 31, 1856",1856
192,Louisiana,Unnamed,4,"Aug 11, 1856",1856
193,Alabama,Unnamed,2,"Aug 12, 1860",1860
194,Louisiana,Unnamed,3,"Aug 11, 1860",1860
195,Louisiana,Unnamed,2,"Sep 15, 1860",1860
196,Louisiana,Unnamed,2,"Oct 2, 1860",1860
197,Mississippi,Unnamed,3,"Aug 12, 1860",1860
198,Mississippi,Unnamed,2,"Sep 15, 1860",1860
199,Florida,Unnamed,2,"Oct 23, 1865",1865
200,Louisiana,Unnamed,2,"Sep 13, 1865",1865
201,Texas,Unnamed,2,"Jul 15, 1866",1866
202,Louisiana,Unnamed,2,"Oct 4, 1867",1867
203,Connecticut,1869 Saxby Gale,2,"October 4, 1869",1869
204,Connecticut,Hurricane Six,3,"September 9, 1869",1869
205,Maine,Unnamed,2,"Oct 4, 1869",1869
206,Massachusetts,Unnamed,3,"Sep 8, 1869",1869
207,Texas,Unnamed,2,"Aug 17, 1869",1869
208,Florida,Unnamed,3,"Aug 16, 1871",1871
209,Florida,Unnamed,2,"Aug 25, 1871",1871
210,Florida,Unnamed,3,"Oct 7, 1873",1873
211,Texas,Unnamed,3,"Sep 16, 1875",1875
212,Connecticut,San Felipe Hurricane,3,"September 19, 1876",1876
213,Florida,Unnamed,2,"Oct 20, 1876",1876
214,Connecticut,Unnamed,3,"October 5, 1877",1877
215,Florida,Unnamed,3,"Oct 3, 1877",1877
216,Connecticut,Gale of 1878,2,"October 24, 1878",1878
217,Florida,Unnamed,2,"Sep 10, 1878",1878
218,North Carolina,Unnamed,2,"Oct 23, 1878",1878
219,Connecticut,Hurricane Two,3,"August 19, 1879",1879
220,Louisiana,Unnamed,2,"Aug 23, 1879",1879
221,Louisiana,Unnamed,3,"Sep 1, 1879",1879
222,North Carolina,Unnamed,3,"Aug 18, 1879",1879
223,Texas,Unnamed,2,"Aug 23, 1879",1879
224,Virginia,Unnamed,2,"Aug 18, 1879",1879
225,Florida,Unnamed,2,"Aug 29, 1880",1880
226,Texas,Unnamed,3,"Aug 13, 1880",1880
227,Georgia,Unnamed,2,"Aug 28, 1881",1881
228,North Carolina,Unnamed,2,"Sep 9, 1881",1881
229,Florida,Unnamed,3,"Sep 10, 1882",1882
230,North Carolina,Unnamed,2,"Sep 11, 1883",1883
231,North Carolina,Unnamed,2,"Sep 25, 1885",1885
232,South Carolina,Unnamed,3,"Aug 25, 1885",1885
233,Florida,Unnamed,2,"Jun 21, 1886",1886
234,Florida,Unnamed,2,"Jun 30, 1886",1886
235,Louisiana,Unnamed,2,"Jun 14, 1886",1886
236,Louisiana,Unnamed,3,"Oct 12, 1886",1886
237,Texas,Unnamed,2,"Jun 14, 1886",1886
238,Texas,Unnamed,4,"Aug 20, 1886",1886
239,Texas,Unnamed,2,"Oct 12, 1886",1886
240,Texas,Unnamed,2,"Sep 21, 1887",1887
241,Connecticut,Hurricane Three,3,"August 22, 1888",1888
242,Connecticut,Hurricane Six,2,"September 25, 1889",1888
243,Florida,Unnamed,3,"Aug 16, 1888",1888
244,Florida,Unnamed,2,"Oct 11, 1888",1888
245,Louisiana,Unnamed,2,"Aug 19, 1888",1888
246,Alabama,Unnamed,2,"Oct 3, 1893",1893
247,Connecticut,Hurricane Four,3,"August 24, 1893",1893
248,Connecticut,1893 Sea Islands Hurricane,3,"August 29, 1893",1893
249,Georgia,Unnamed,3,"Aug 28, 1893",1893
250,Louisiana,Unnamed,2,"Sep 7, 1893",1893
251,Louisiana,Unnamed,4,"Oct 2, 1893",1893
252,Mississippi,Unnamed,2,"Oct 2, 1893",1893
253,South Carolina,Unnamed,3,"Aug 28, 1893",1893
254,South Carolina,Unnamed,3,"Oct 13, 1893",1893
255,Florida,Unnamed,2,"Sep 25, 1894",1894
256,Florida,Unnamed,3,"Oct 9, 1894",1894
257,Florida,Unnamed,2,"Jul 7, 1896",1896
258,Florida,Unnamed,3,"Sep 29, 1896",1896
259,Georgia,Unnamed,2,"Sep 29, 1896",1896
260,Florida,Unnamed,2,"Oct 2, 1898",1898
261,Georgia,Unnamed,4,"Oct 2, 1898",1898
262,Florida,Unnamed,2,"Aug 1, 1899",1899
263,North Carolina,Unnamed,3,"Aug 18, 1899",1899
264,North Carolina,Unnamed,2,"Oct 31, 1899",1899
265,South Carolina,Unnamed,2,"Oct 31, 1899",1899
